CENSUS_NO,SCHOOL_NAME
00005,ST. JOHN'S M.V.
00006,ST.LUCIA'S COLLEGE
00032,WOLFENDHAL B.M.V.
00045,ROYAL COLLEGE
00058,PRESBYTERIAN GIRL'S SCHOOL
00060,D.S.SENANAYAKE COLLEGE
00077,ISIPATHANA COLLEGE
00082,ST.ANTHONY'S B.M.V.
00083,ST.CLARE'S B.M.V.
00201,AL HIDHAYA VIDYALAYA
00202,AL IQBAL B.V. (MARYAM B.V.)
00203,AL NASSER VIDYALAYA
00204,HAMEED AL HUSSEINIE COLLEGE
00205,DHARUSSALAAM M.V.
00206,T.B.JAYAH ZAHIRA VIDYALAYA
00207,FATHIMA MUS.B.V.
00208,KHAIRIYA MUS.B.V.
00209,ST.SEBASTIAN T.M.V.
00210,VIVEKANANDA NATIONAL SCHOOL
00211,AL HIKMA VIDYALAYA
00212,MARADANA HINDU V. (THONDAR GOV. T.V.)
00213,ST. ANNE'S B.M.V.
00214,ST.ANTHONY'S BOYS M.V.
00215,KANAPATHY HINDU LADIES M.V.
00216,HOLY ROSARY T.V.
00218,COLOMBO CENTRAL HINDU M.V.
00219,DR. BADIUDDIN MAHMUD COLLEGE
00220,SIR RAZIK FAREED MUS.V.
00221,HAMZA MUS.V.
00222,KALAIMAGAL T.V.
00223,MAHAWATTA ST.ANTHONY'S T.M.V.
00224,GOOD SHEPHERD G.T.V.
00225,HINDU COLLEGE -COLOMBO 15
00226,KOTAHENA METHODIST T.V.
00229,AL-HAKEEM VIDYALAYA
00230,VIPULANANTHA T.M.V.
00231,AL HIJRA MUS.V.
00232,DR. THANINAYAGAM T.V.
00234,KUMARAUTHAYAM T.V.
00235,RAMAKRISHNA VIDYALAYA
00236,MUSLIM LADIES COLLEGE
00237,HINDU COLLEGE
00238,AL AMEEN VIDYALAYA
00239,ST.MARY'S T.V.
00240,KOLLUPITIYA METHODIST G.T.V.
00241,RAMANATHAN HINDU LADIES COLLEGE
00242,NUGEGODA TAMIL M.V.
00243,MEELAD MUSLIM VIDYALAYA
00244,DEHIWALA TAMIL M.V.
00245,SRI JAYAWARDHANAPURA HINDU VIDYALAYA
